Timestamp,Message
2025-10-27 16:31:02.414988,"Partida iniciada: Dificultad: EASY, Modo barcos: NORMAL"
2025-10-27 16:31:03.188365,"Jugador: Disparo en (3, 1) - Agua"
2025-10-27 16:31:03.990365,"IA (EASY): Disparo en (5, 3) - Agua"
2025-10-27 16:31:06.522567,"Jugador: Disparo en (4, 1) - Agua"
2025-10-27 16:31:07.322717,"IA (EASY): Disparo en (9, 5) - Agua"
2025-10-27 16:31:07.721688,"Jugador: Disparo en (6, 1) - Tocado"
2025-10-27 16:31:08.524524,"IA (EASY): Disparo en (9, 6) - Agua"
2025-10-27 16:31:09.407650,"Jugador: Disparo en (6, 2) - Agua"
2025-10-27 16:31:10.209774,"IA (EASY): Disparo en (3, 5) - Agua"
2025-10-27 16:31:11.020399,"Jugador: Disparo en (7, 1) - Tocado"
2025-10-27 16:31:11.821059,"IA (EASY): Disparo en (7, 8) - Tocado"
2025-10-27 16:31:12.108171,"Jugador: Disparo en (5, 1) - Agua"
2025-10-27 16:31:12.909363,"IA (EASY): Disparo en (8, 2) - Agua"
2025-10-27 16:31:13.596757,"Jugador: Disparo en (8, 1) - Hundido"
2025-10-27 16:31:14.397484,"IA (EASY): Disparo en (6, 2) - Agua"
2025-10-27 16:31:16.128209,"Jugador: Disparo en (8, 3) - Agua"
2025-10-27 16:31:16.929305,"IA (EASY): Disparo en (0, 4) - Agua"
2025-10-27 16:31:17.465961,"Jugador: Disparo en (6, 3) - Agua"
2025-10-27 16:31:18.269644,"IA (EASY): Disparo en (1, 7) - Agua"
2025-10-27 16:31:18.936362,"Jugador: Disparo en (4, 3) - Agua"
2025-10-27 16:31:19.736591,"IA (EASY): Disparo en (3, 6) - Agua"
2025-10-27 16:31:20.469614,"Jugador: Disparo en (2, 3) - Agua"
2025-10-27 16:31:21.272357,"IA (EASY): Disparo en (1, 6) - Tocado"
2025-10-27 16:31:21.282978,"Jugador: Disparo en (1, 3) - Agua"
2025-10-27 16:31:22.084200,"IA (EASY): Disparo en (6, 9) - Agua"
2025-10-27 16:31:22.094618,"Jugador: Disparo en (0, 3) - Agua"
2025-10-27 16:31:22.895316,"IA (EASY): Disparo en (3, 8) - Agua"
2025-10-27 16:31:24.397021,"Jugador: Disparo en (9, 4) - Agua"
2025-10-27 16:31:25.198802,"IA (EASY): Disparo en (7, 4) - Agua"
2025-10-27 16:31:25.565661,"Jugador: Disparo en (7, 4) - Agua"
2025-10-27 16:31:26.366651,"IA (EASY): Disparo en (7, 9) - Agua"
2025-10-27 16:31:26.998689,"Jugador: Disparo en (1, 1) - Agua"
2025-10-27 16:31:27.798937,"IA (EASY): Disparo en (3, 4) - Agua"
2025-10-27 16:31:28.301848,"Jugador: Disparo en (4, 0) - Agua"
2025-10-27 16:31:29.105360,"IA (EASY): Disparo en (7, 7) - Agua"
2025-10-27 16:31:29.111857,"Jugador: Disparo en (3, 0) - Agua"
2025-10-27 16:31:29.912729,"IA (EASY): Disparo en (6, 3) - Agua"
2025-10-27 16:31:29.917313,"Jugador: Disparo en (2, 0) - Agua"
2025-10-27 16:31:30.718057,"IA (EASY): Disparo en (5, 6) - Tocado"
2025-10-27 16:31:31.020039,"Jugador: Disparo en (0, 0) - Agua"
2025-10-27 16:31:31.821936,"IA (EASY): Disparo en (5, 1) - Tocado"
2025-10-27 16:31:32.207150,"Jugador: Disparo en (0, 1) - Agua"
2025-10-27 16:31:33.010138,"IA (EASY): Disparo en (2, 0) - Agua"
2025-10-27 16:31:35.498996,"Jugador: Disparo en (5, 4) - Agua"
2025-10-27 16:31:36.301956,"IA (EASY): Disparo en (8, 3) - Agua"
2025-10-27 16:31:49.539300,"Jugador: Disparo en (3, 4) - Agua"
2025-10-27 16:31:50.339955,"IA (EASY): Disparo en (0, 9) - Agua"
2025-10-27 16:31:51.240368,"Jugador: Disparo en (1, 4) - Agua"
2025-10-27 16:31:52.041535,"IA (EASY): Disparo en (5, 8) - Agua"
2025-10-27 16:31:53.439872,"Jugador: Disparo en (0, 5) - Agua"
2025-10-27 16:31:54.240020,"IA (EASY): Disparo en (0, 6) - Agua"
2025-10-27 16:31:54.984323,"Jugador: Disparo en (3, 5) - Agua"
2025-10-27 16:31:55.786550,"IA (EASY): Disparo en (9, 8) - Agua"
2025-10-27 16:31:56.307533,"Jugador: Disparo en (2, 5) - Tocado"
2025-10-27 16:31:57.108394,"IA (EASY): Disparo en (1, 3) - Agua"
2025-10-27 16:31:58.127350,"Jugador: Disparo en (2, 4) - Tocado"
2025-10-27 16:31:58.928602,"IA (EASY): Disparo en (2, 5) - Agua"
2025-10-27 16:31:59.498186,"Jugador: Disparo en (2, 6) - Tocado"
2025-10-27 16:32:00.298466,"IA (EASY): Disparo en (1, 0) - Agua"
2025-10-27 16:32:01.018356,"Jugador: Disparo en (2, 7) - Tocado"
2025-10-27 16:32:01.819483,"IA (EASY): Disparo en (4, 1) - Tocado"
